,open,high,low,close,adjclose,volume,ticker
2019-06-21,145.2759246826172,145.9531707763672,144.33946228027344,144.94146728515625,112.98612213134766,5837437,MMM
2019-06-24,144.94146728515625,145.76922607421875,144.93310546875,144.966552734375,113.00567626953124,3243432,MMM
2019-06-25,144.8578643798828,144.97491455078125,143.21070861816406,143.83779907226562,112.1257781982422,3268907,MMM
2019-06-26,144.1053466796875,144.84950256347656,143.57859802246094,143.71237182617188,112.02800750732422,2167391,MMM
2019-06-27,144.2391357421875,144.47325134277344,142.68394470214844,143.3946533203125,111.78032684326172,2055326,MMM
2019-06-28,143.68728637695312,145.7943115234375,143.6204071044922,144.93310546875,112.9795913696289,4306557,MMM
2019-07-01,146.7056884765625,146.97325134277344,145.0836181640625,145.911376953125,113.74219512939452,2519613,MMM
2019-07-02,146.40467834472656,146.40467834472656,144.7073516845703,145.50167846679688,113.42282104492188,1860258,MMM
2019-07-03,145.62709045410156,146.35450744628906,144.59030151367188,146.30435180664062,114.04854583740234,1400157,MMM
2019-07-05,144.64883422851562,144.88294982910156,141.9147186279297,143.81271362304688,112.10620880126952,2081638,MMM
2019-07-08,142.07357788085938,142.54180908203125,141.11204528808594,141.4632110595703,110.27471160888672,2733219,MMM
2019-07-09,139.48159790039062,140.00836181640625,137.36622619628906,138.54515075683594,107.99999237060548,5425176,MMM
2019-07-10,138.95484924316406,139.89967346191406,138.43646240234375,138.54515075683594,107.99999237060548,3183393,MMM
2019-07-11,139.0468292236328,141.3795928955078,138.68728637695312,141.33779907226562,110.17694091796876,3366501,MMM
2019-07-12,142.2240753173828,144.9498291015625,141.5133819580078,144.93310546875,112.9795913696289,3780197,MMM
2019-07-15,144.966552734375,145.69398498535156,143.1521759033203,144.51504516601562,112.65372467041016,2616250,MMM
2019-07-16,144.43980407714844,148.2023468017578,144.4147186279297,147.56689453125,115.03274536132812,4687004,MMM
2019-07-17,147.4498291015625,147.56689453125,145.5685577392578,146.04515075683594,113.84648895263672,3525090,MMM
2019-07-18,145.83612060546875,146.43812561035156,144.14715576171875,144.69898986816406,112.79710388183594,2657273,MMM
2019-07-19,144.65719604492188,145.47659301757812,143.98829650878906,144.32273864746094,112.5038070678711,2822919,MMM
2019-07-22,144.48995971679688,146.4966583251953,143.92140197753906,146.0200653076172,113.826904296875,2397262,MMM
2019-07-23,147.15719604492188,148.84616088867188,146.8645477294922,148.4281005859375,115.70404815673828,2823397,MMM
2019-07-24,147.93478393554688,150.744140625,147.3745880126953,150.0167236328125,116.94245147705078,4224631,MMM
2019-07-25,156.3628692626953,156.95652770996094,147.7090301513672,148.93812561035156,116.10163879394533,8804952,MMM
2019-07-26,148.5200653076172,149.155517578125,142.61705017089844,145.46823120117188,113.3967514038086,4803256,MMM
2019-07-29,145.34280395507812,148.51170349121094,145.20066833496094,147.7926483154297,115.20870208740234,3156124,MMM
2019-07-30,146.87290954589844,148.67056274414062,145.31771850585938,148.5200653076172,115.7757339477539,2366764,MMM
2019-07-31,148.5367889404297,148.84616088867188,144.9832763671875,146.0869598388672,113.87906646728516,3606897,MMM
2019-08-01,146.14549255371094,148.5535125732422,144.67391967773438,144.9498291015625,112.9926300048828,2847915,MMM
2019-08-02,144.53176879882812,144.58193969726562,141.98159790039062,142.60032653808594,111.16111755371094,2898028,MMM
2019-08-05,141.26254272460938,141.32107543945312,137.47491455078125,137.71739196777344,107.35475158691406,3462061,MMM
2019-08-06,137.8093719482422,138.3612060546875,136.20401000976562,136.8812713623047,106.70295715332033,4179781,MMM
2019-08-07,135.45150756835938,137.08193969726562,132.14047241210938,136.82273864746094,106.6573257446289,7167867,MMM
2019-08-08,137.43310546875,138.36956787109375,136.74749755859375,137.3076934814453,107.0353546142578,3899080,MMM
2019-08-09,137.57525634765625,137.75083923339844,135.47659301757812,136.68060302734375,106.54651641845705,1892192,MMM
2019-08-12,136.30435180664062,137.7759246826172,135.07525634765625,135.5351104736328,105.65359497070312,1762665,MMM
2019-08-13,135.91973876953125,140.36788940429688,135.57691955566406,137.85952758789062,107.46554565429688,3880542,MMM
2019-08-14,135.86956787109375,136.17892456054688,132.66722106933594,132.78428649902344,103.5092315673828,4851096,MMM
2019-08-15,132.15719604492188,133.52842712402344,130.1254119873047,131.1371307373047,103.3459701538086,5325429,MMM
2019-08-16,131.97325134277344,135.37625122070312,131.64715576171875,135.033447265625,106.41655731201172,4164233,MMM
2019-08-19,136.8812713623047,137.08193969726562,135.26756286621094,136.24581909179688,107.37203979492188,3824808,MMM
2019-08-20,136.3795928955078,136.3795928955078,134.58193969726562,134.62374877929688,106.09373474121094,2465793,MMM
2019-08-21,136.02842712402344,136.8311004638672,134.65719604492188,134.7407989501953,106.18592834472656,1941826,MMM
2019-08-22,135.45150756835938,136.22909545898438,133.90467834472656,134.51504516601562,106.00801849365234,1724154,MMM
